unitid,insname,lat,long,endow1,endow2,enroll
230047,Brigham Young University-Hawaii,21.641172,-157.925358,119641542,128522023,2718
142522,Brigham Young University-Idaho,43.815384,-111.784728,,,43803
230038,Brigham Young University-Provo,40.250851,-111.649281,1470770000,1581452000,33469
450304,Brite Divinity School,32.709543,-97.361561,79232546,82075528,217
189501,Brooklyn Law School,40.692662,-73.990535,133265987,129836298,1175
217156,Brown University,41.827605,-71.404467,2999749000,3073349000,9458
180878,Bryan College of Health Sciences,40.796768,-96.651532,,,704
219790,Bryan College-Dayton,35.495721,-85.016596,5848081,5901131,1489
217165,Bryant University,41.920149,-71.539147,172809342,170101208,3670
210492,Bryn Athyn College of the New Church,40.131358,-75.06093,60448065,60025025,278
211273,Bryn Mawr College,40.028541,-75.314988,839226000,867728000,1692
211291,Bucknell University,40.954489,-76.886275,,,3625
153001,Buena Vista University,42.642529,-95.208053,135570211,133347544,2322
150163,Butler University,39.840662,-86.171791,188874000,193960000,4797
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,40.484409,-80.015825,,,17
198109,Cabarrus College of Health Sciences,35.438139,-80.60119,1958804,1943814,452
211352,Cabrini University,40.054565,-75.37215,44141538,43708900,2428
215114,Cairn University-Langhorne,40.165809,-74.909509,11303788,11196341,1043
183910,Caldwell University,40.834285,-74.273697,7948562,8319896,2138
110361,California Baptist University,33.928569,-117.42587,15774938,16087620,8541
110918,California Christian College,36.75031,-119.711208,103645,102995,18
110370,California College of the Arts,37.76723,-122.399941,32096000,33020000,1975
485263,California College San Diego,32.83529,-117.167131,,,931
478634,California College San Diego,33.13817,-117.160641,,,395
487649,California Institute of Advanced Management,34.07144,-118.061091,,,9
110316,California Institute of Integral Studies,37.774768,-122.416537,1386723,1387573,1026
110404,California Institute of Technology,34.139275,-118.12574,2118100000,2078954000,2255
111081,California Institute of the Arts,34.393337,-118.567303,137535200,139561180,1448
483586,California International Business University,32.72017,-117.167671,,,
486488,California Jazz Conservatory,37.871144,-122.268698,,,55
110413,California Lutheran University,34.225551,-118.879467,86235853,92938118,4126
460075,California University of Management and Sciences,33.84201,-117.942011,,,565
111391,California Western School of Law,32.72194,-117.162597,24308916,23819248,628
150172,Calumet College of Saint Joseph,41.670925,-87.492987,4448692,4336364,1100
176789,Calvary University,38.838169,-94.546238,1219519,727074,319
169080,Calvin College,42.929916,-85.587548,123665678,128435593,3990
169099,Calvin Theological Seminary,42.92992,-85.587354,42903378,41829488,300
165167,Cambridge College,42.369193,-71.11084,14619294,14451700,2800
198136,Campbell University,35.409333,-78.739508,124569754,133564944,6484
156365,Campbellsville University,37.343342,-85.348943,13826432,13336302,3128
189705,Canisius College,42.925319,-78.851794,104580533,110740199,3900
201548,Capital University,39.954875,-82.937867,74332891,73514052,3465
162061,Capitol Technology University,39.047047,-76.851413,4198592,4248089,804
238430,Cardinal Stritch University,43.139752,-87.909045,9747225,10229682,3176
173258,Carleton College,44.462304,-93.154662,792737205,783456362,2014
132842,Carlos Albizu University-Miami,25.795162,-80.355002,,,1046
211431,Carlow University,40.439851,-79.963927,21167822,23463263,2272
211440,Carnegie Mellon University,40.444616,-79.942914,1235967714,1318050068,12963
199971,Carolina Christian College,36.148443,-80.192792,277646,223612,45
461032,Carolina College of Biblical Studies,35.05141,-78.939511,462541,456291,117
180106,Carroll College,46.602202,-112.04053,51030695,52045530,1469
238458,Carroll University,43.004647,-88.227962,52173386,52607425,3508
219806,Carson-Newman University,36.122224,-83.492183,51811396,53592352,2528
